SEAT,COUNTY,REGION,COUNTRY,AGE_UNDR_10,AGE_10_19,AGE_20_29,AGE_30_39,AGE_40_49,AGE_50_59,AGE_60_69,AGE_70_79,AGE_OVR_80,LEAVE,CHILDPOVERTY_2022,STUDENT,A,C3,B,C5,E,D7,D6,C4,WHITE,BLACK,ASIAN,OTHR_ETH,BUDDHIST,CHRISTIAN,HINDU,JEWISH,MUSLIM,ATHEIST,NOREPLY,OTHER_RLG,SIKH,TOT_2010,WIN_2010,TURNOUT_2010,CON_2010_PCT,LAB_2010_PCT,LIB_2010_PCT,GRN_2010_PCT,UKIP_2010_PCT,OTH_2010_PCT,DUP_2010_PCT,SF_2010_PCT,APNI_2010_PCT,SDLP_2010_PCT,UUP_2010_PCT,GRNIR_2010_PCT,SNP_2010_PCT,GRNSC_2010_PCT,PC_2010_PCT,BNP_2010_PCT,TOT_2015,WIN_2015,TURNOUT_2015,CON_2015_PCT,LAB_2015_PCT,LIB_2015_PCT,GRN_2015_PCT,UKIP_2015_PCT,OTH_2015_PCT,DUP_2015_PCT,SF_2015_PCT,APNI_2015_PCT,SDLP_2015_PCT,UUP_2015_PCT,GRNIR_2015_PCT,SNP_2015_PCT,GRNSC_2015_PCT,PC_2015_PCT,TOT_2017,WIN_2017,TURNOUT_2017,CON_2017_PCT,LAB_2017_PCT,LIB_2017_PCT,GRN_2017_PCT,UKIP_2017_PCT,OTH_2017_PCT,DUP_2017_PCT,SF_2017_PCT,APNI_2017_PCT,SDLP_2017_PCT,UUP_2017_PCT,GRNIR_2017_PCT,SNP_2017_PCT,GRNSC_2017_PCT,PC_2017_PCT,TOT_2019,WIN_2019,TURNOUT_2019,CON_2019_PCT,LAB_2019_PCT,LIB_2019_PCT,GRN_2019_PCT,BRX_2019_PCT,OTH_2019_PCT,DUP_2019_PCT,SF_2019_PCT,APNI_2019_PCT,SDLP_2019_PCT,UUP_2019_PCT,GRNIR_2019_PCT,SNP_2019_PCT,GRNSC_2019_PCT,PC_2019_PCT,MEDWAGE,UE_MAY_2010,UE_MAY_2015,UE_MAY_2017,UE_NOV_2019,UE_AUG_2023
Aberavon,WGM,WLS,WLS,0.11,0.117,0.121,0.133,0.122,0.137,0.12,0.089,0.05,0.599,0.227,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.955354697,0.004742753,0.023180383,0.016722167,0.002753431,0.400170107,0.004540999,0.000202,0.011302041,0.508462115,0.067264445,0.004079691,0.001225349,30958,LAB,0.609,0.142483365,0.519187286,0.162607404,0,0.015795594,0.0477098,0,0,0,0,0,0,0,0,0.070999419,0.041217133,31523,LAB,0.633,0.118706976,0.489039749,0.044316848,0.02255496,0.157694382,0.051486216,0,0,0,0,0,0,0,0,0.116200869,33268,CON,0.667,0.17737766,0.681195142,0.01800529,0,0.040429241,0,0,0,0,0,0,0,0,0,0.082992666,31598,LAB,0.623,0.206278878,0.538261915,0.033926198,0.014241408,0.098360656,0.023134376,0,0,0,0,0,0,0,0,0.085796569,662,0.037883643,0.024274719,0.024165305,0.036259409,0.035234078
Aberconwy,CON,WLS,WLS,0.094,0.098,0.098,0.103,0.108,0.151,0.14,0.128,0.081,0.533,0.205,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.972863638,0.002380697,0.010990585,0.013765081,0.003078685,0.508448486,0.001646739,0.000483,0.006211069,0.411648887,0.063113052,0.005262404,0.000107,29966,CON,0.672,0.358205967,0.244810786,0.193085497,0,0.021090569,0.004571848,0,0,0,0,0,0,0,0,0.178235333,0,30148,CON,0.662,0.415052408,0.282406793,0.046139047,0.024114369,0.114999337,0,0,0,0,0,0,0,0,0,0.117288046,32150,CON,0.71,0.445940902,0.426189736,0.029269051,0,0,0,0,0,0,0,0,0,0,0,0.098600311,31865,CON,0.713,0.460913228,0.397081437,0.05714734,0,0,0,0,0,0,0,0,0,0,0,0.084857995,600,0.032035382,0.019157088,0.018507021,0.026327532,0.025256582
Aberdeen North,SCT,SCT,SCT,0.105,0.097,0.213,0.169,0.118,0.11,0.092,0.063,0.035,0.43,0.227,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37701,LAB,0.582,0.123763295,0.444179199,0.185697992,0,0,0.007108565,0,0,0,0,0,0,0.222407894,0,0,0.016843055,43936,SNP,0.649,0.120721049,0.259400036,0.046658776,0,0,0.008922068,0,0,0,0,0,0,0.56429807,0,0,36757,CON,0.592,0.226922763,0.300106102,0.046059254,0,0,0.014201377,0,0,0,0,0,0,0.412710504,0,0,37413,SNP,0.599,0.201400583,0.132012937,0.076069815,0,0.026942507,0,0,0,0,0,0,0,0.540052923,0.023521236,0,598,0.028581787,0.01663706,0.029314982,0.033318568,0.031934332
Aberdeen South,SCT,SCT,SCT,0.099,0.089,0.144,0.185,0.132,0.131,0.103,0.07,0.049,0.323,0.119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43034,LAB,0.672,0.207138542,0.365339034,0.283868569,0,0,0.003206767,0,0,0,0,0,0,0.11855742,0.009597063,0,0.012292606,48551,SNP,0.713,0.228357809,0.267574303,0.046384215,0,0.018475418,0.002862969,0,0,0,0,0,0,0.416489877,0.01985541,0,44493,CON,0.685,0.421324703,0.205492999,0.058660913,0,0,0,0,0,0,0,0,0,0.314521385,0,0,45638,SNP,0.694,0.359305842,0.08400894,0.109952233,0,0,0,0,0,0,0,0,0,0.446732986,0,0,672,0.018856017,0.01157456,0.020286161,0.019813216,0.019429833
Airdrie and Shotts,SCT,SCT,SCT,0.109,0.118,0.121,0.13,0.131,0.152,0.116,0.081,0.041,0.4,0.263,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35849,LAB,0.575,0.087394349,0.581578287,0.080839075,0,0,0.014728444,0,0,0,0,0,0,0.235459845,0,0,0,44286,SNP,0.663,0.076525313,0.341146186,0.015309579,0,0.024567583,0.003070948,0,0,0,0,0,0,0.539380391,0,0,38002,CON,0.592,0.231908847,0.370927846,0.021104152,0,0,0,0,0,0,0,0,0,0.376059155,0,0,39772,SNP,0.621,0.176279795,0.320024138,0.035678367,0,0,0,0,0,0,0,0,0,0.450794529,0.017223172,0,639,0.056000572,0.031871589,0.029586432,0.040081631,0.040547072
Aldershot,HAM,SE,ENG,0.129,0.111,0.118,0.15,0.143,0.142,0.094,0.075,0.041,0.582,0.134,0.049214752,0.128601585,0.136050663,0.208806269,0.062079332,0.079928383,0.108652645,0.132337176,0.094329196,0.784504916,0.024623901,0.139035174,0.051836008,0.044108131,0.426774031,0.053957869,0.000665,0.023420088,0.383160184,0.053841038,0.011790927,0.002282695,45384,CON,0.635,0.467191081,0.120945708,0.344108056,0,0.044971796,0.02278336,0,0,0,0,0,0,0,0,0,0,46191,CON,0.638,0.505921067,0.183325756,0.088242298,0.043839709,0.17867117,0,0,0,0,0,0,0,0,0,0,48950,CON,0.642,0.550561798,0.316179775,0.074300306,0.02226762,0.036690501,0,0,0,0,0,0,0,0,0,0,47932,CON,0.66,0.583743637,0.235375115,0.144371193,0.036510056,0,0,0,0,0,0,0,0,0,0,0,668,0.025011785,0.008483838,0.008799045,0.015829622,0.015065332
Aldridge-Brownhills,WMD,WM,ENG,0.109,0.11,0.105,0.113,0.12,0.151,0.113,0.109,0.069,0.678,0.192,0.050386079,0.105470891,0.13129826,0.201199743,0.063887105,0.079518223,0.136059643,0.132660892,0.099519163,0.886622366,0.018840468,0.061440787,0.033096379,0.002330912,0.551808067,0.009246381,0.000296,0.014204399,0.331839489,0.051022511,0.004481533,0.034770515,38634,CON,0.656,0.593078635,0.197934462,0.176864938,0.021923694,0,0.010198271,0,0,0,0,0,0,0,0,0,0,39497,CON,0.656,0.520495227,0.223687875,0.033673444,0.020912981,0.196242753,0.004987721,0,0,0,0,0,0,0,0,0,40235,CON,0.667,0.654082267,0.298496334,0.033378899,0,0,0.0140425,0,0,0,0,0,0,0,0,0,39342,CON,0.654,0.707894871,0.203700879,0.060266382,0.019597377,0,0.008540491,0,0,0,0,0,0,0,0,0,571,0.04027336,0.013964061,0.016742042,0.026033256,0.025356784
Altrincham and Sale West,GTM,NW,ENG,0.127,0.134,0.085,0.121,0.149,0.14,0.102,0.089,0.055,0.384,0.07,0.061705395,0.239017145,0.116953249,0.24218927,0.034364694,0.06202009,0.063291458,0.079731125,0.100727575,0.805614181,0.016517543,0.120814879,0.057053397,0.004706512,0.505380286,0.029755063,0.020906821,0.064058103,0.316891919,0.050146645,0.004112005,0.004042646,49393,CON,0.684,0.48946207,0.224181564,0.254712206,0,0.03164416,0,0,0,0,0,0,0,0,0,0,0,50517,CON,0.706,0.529940416,0.266860661,0.083833165,0.039254112,0.080111646,0,0,0,0,0,0,0,0,0,0,52790,CON,0.721,0.510191324,0.388463724,0.076738019,0.018942982,0,0.005663952,0,0,0,0,0,0,0,0,0,54863,CON,0.749,0.479576399,0.367679493,0.110019503,0.028543827,0,0.014180778,0,0,0,0,0,0,0,0,0,855,0.021590966,0.010828246,0.010840019,0.015936255,0.015542767
Alyn and Deeside,CON,WLS,WLS,0.113,0.117,0.115,0.134,0.127,0.141,0.108,0.094,0.049,0.577,0.17,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.971542017,0.002429774,0.011698471,0.014329738,0.002524684,0.506205033,0.00286842,0.000379,0.005926488,0.414071853,0.064634276,0.003164745,0.000225,39923,LAB,0.655,0.322746287,0.395862034,0.183052376,0,0.025273652,0,0,0,0,0,0,0,0,0,0.038799689,0.034265962,41314,LAB,0.666,0.31943167,0.40034855,0.04194704,0.023623953,0.175727356,0,0,0,0,0,0,0,0,0,0.038921431,44760,CON,0.71,0.403932082,0.520889187,0.024061662,0,0.024955317,0,0,0,0,0,0,0,0,0,0.026161752,43008,LAB,0.685,0.419875372,0.424827939,0.059244792,0,0.062267485,0,0,0,0,0,0,0,0,0,0.033784412,584,0.032792466,0.016727287,0.015703743,0.024991972,0.025161985
Amber Valley,DBY,EM,ENG,0.103,0.103,0.115,0.119,0.125,0.153,0.123,0.107,0.053,0.653,0.251,0.040289036,0.095749787,0.112907956,0.18115401,0.077978349,0.075978562,0.17975416,0.138158596,0.098029544,0.976839192,0.002612787,0.008037642,0.012510379,0.002181134,0.438662533,0.001284322,0.000421,0.002424712,0.490179362,0.057905226,0.005414083,0.001527901,45958,CON,0.655,0.386135167,0.374472344,0.144392706,0,0.019713652,0.005766134,0,0,0,0,0,0,0,0,0,0.069519997,45717,CON,0.658,0.439792637,0.347813724,0.029748234,0.023776713,0.158868692,0,0,0,0,0,0,0,0,0,0,45811,CON,0.673,0.565475541,0.384296348,0.0240117,0.014188732,0,0.012027679,0,0,0,0,0,0,0,0,0,45567,CON,0.651,0.638532271,0.267957074,0.063050014,0.03046064,0,0,0,0,0,0,0,0,0,0,0,626,0.038613248,0.01422049,0.014859589,0.025598693,0.024817596
